year,value
1852,350.0
1853,378.0
1856,367.0
1857,480.0
1858,494.0
1859,460.0
1860,461.0
1862,440.0
1863,494.0
1864,359.0
1865,397.0
1866,423.0
1878,497.0
1879,477.0
1880,462.0
1881,467.0
1882,487.0
1883,478.0
1884,489.0
1885,469.0
1886,478.0
1887,483.0
1888,489.0
1889,490.0
1890,565.0
1891,489.0
1892,489.0
1893,490.0
1894,478.0
1895,501.0
1896,522.0
1897,494.0
1898,506.0
1899,489.0
1900,511.0
1901,500.0
1902,506.0
1903,511.0
1904,494.0
1905,528.0
1906,511.0
1907,500.0
1908,489.0
1909,490.0
1910,510.0
1911,500.0
1912,489.0
1913,567.0
1914,522.0
1915,539.0
1916,528.0
1917,517.0
1918,517.0
1919,506.0
1920,517.0
1921,520.0
1922,522.0
1923,506.0
1924,530.0
1925,517.0
1926,517.0
1927,511.0
1928,517.0
1929,511.0
1930,500.0
1931,522.0
1932,511.0
1933,528.0
1934,520.0
1935,506.0
1936,522.0
1937,511.0
1938,517.0
1940,528.0
1941,511.0
1942,522.0
1943,511.0
1944,506.0
1945,528.0
1946,517.0
1947,522.0
1948,550.0
1949,567.0
1950,522.0
1951,528.0
1952,567.0
1953,567.0
1954,517.0
1955,528.0
1956,539.0
1957,506.0
1958,561.0
1959,550.0
1960,539.0
1961,533.0
1962,506.0
1963,500.0
1964,506.0
1965,500.0
1966,550.0
1967,511.0
1968,517.0
1969,506.0
1970,511.0
1971,511.0
1972,533.0
1973,511.0
1974,528.0
1975,539.0
1976,508.0
1977,519.0
1978,511.0
1979,506.0
1980,511.0
1981,517.0
1982,528.0
1983,516.0
1984,535.0
1985,539.0
1986,506.0
1987,525.0
1988,542.0
1989,528.0
1990,522.0
1991,522.0
1992,540.0
1993,528.0
1994,533.0
1995,528.0
1996,528.0
1997,517.0
1998,539.0
1999,540.0
2000,522.0
2001,546.0
2002,533.0
2003,547.0
2004,517.0
2005,539.0
2006,547.0
2007,539.0
2008,540.0
2009,533.0
2010,539.0
2011,539.0
2012,537.0
2013,539.0
2014,522.0
2015,556.0
2016,539.0
2017,529.0
2018,528.0
2019,532.0
2020,544.0
2021,471.0
1939,512.0
1871,456.0
1872,467.0
1873,428.0
1874,478.0
1875,461.0
1876,486.0
1877,469.0
1861,422.0
1870,450.0
1867,467.0
1868,444.0
1869,424.0
1855,369.0
1833,335.0
1834,370.0
1835,338.0
1836,351.0
1837,349.0
1838,354.0
1839,363.0
1840,338.0
1841,353.0
1842,338.0
1843,329.0
1844,336.0
1845,364.0
1846,361.0
1847,350.0
1848,343.0
1849,345.0
1850,336.0
1851,372.0
1854,378.0
1775,363.0
1776,324.0
1777,313.0
1778,319.0
1779,306.0
1780,319.0
1781,344.0
1782,356.0
1783,325.0
1784,338.0
1785,315.0
1786,300.0
1787,325.0
1788,334.0
1789,328.0
1790,322.0
1791,330.0
1792,333.0
1793,370.0
1794,325.0
1795,311.0
1796,346.0
1797,328.0
1798,321.0
1799,318.0
1800,323.0
1801,337.0
1802,347.0
1803,319.0
1804,315.0
1805,295.0
1806,314.0
1807,342.0
1808,341.0
1809,312.0
1810,301.0
1811,333.0
1812,298.0
1813,288.0
1814,338.0
1815,321.0
1816,323.0
1817,363.0
1818,338.0
1819,373.0
1820,358.0
1821,325.0
1822,363.0
1823,345.0
1824,388.0
1825,351.0
1826,335.0
1827,344.0
1828,371.0
1829,360.0
1830,368.0
1831,340.0
1832,374.0
1763,309.0
1764,301.0
1765,292.0
1766,301.0
1767,301.0
1768,313.0
1769,319.0
1770,308.0
1771,317.0
1772,351.0
1773,297.0
1774,324.0
