year,value
1895,411.0
1896,439.0
1897,428.0
1898,428.0
1922,483.0
1928,461.0
1929,483.0
1930,483.0
1931,483.0
1932,467.0
1933,489.0
1934,483.0
1935,467.0
1936,478.0
1937,483.0
1938,472.0
1939,489.0
1940,467.0
1941,444.0
1942,472.0
1943,472.0
1944,444.0
1945,456.0
1946,467.0
1947,472.0
1948,467.0
1949,478.0
1950,489.0
1951,450.0
1952,461.0
1953,461.0
1954,478.0
1955,483.0
1956,483.0
1957,483.0
1958,456.0
1959,440.0
1960,450.0
1961,494.0
1962,461.0
1963,448.0
1964,456.0
1965,452.0
1966,450.0
1967,444.0
1968,448.0
1969,450.0
1970,459.0
1971,459.0
1972,461.0
1973,470.0
1974,456.0
1975,450.0
1976,490.0
1977,444.0
1978,465.0
1979,490.0
1980,450.0
1981,456.0
1982,445.0
1983,483.0
1984,456.0
1985,465.0
1986,480.0
1987,461.0
1988,480.0
1989,480.0
1990,478.0
1991,467.0
1992,490.0
1993,478.0
1994,461.0
1995,490.0
1996,464.0
1997,456.0
1998,462.0
1999,467.0
2000,480.0
2001,475.0
2002,460.0
2003,480.0
2004,490.0
2005,470.0
2006,480.0
2007,467.0
2008,489.0
2009,480.0
2010,520.0
2011,489.0
2012,467.0
2013,494.0
2014,457.0
2015,494.0
2016,478.0
2017,483.0
2018,474.0
2019,485.0
2020,466.0
2021,437.0
1877,311.0
1878,350.0
1879,344.0
1880,333.0
1881,361.0
1882,335.0
1883,356.0
1884,330.0
1885,322.0
1886,339.0
1887,361.0
1888,339.0
1889,322.0
1890,317.0
1891,345.0
1892,363.0
1893,428.0
1894,428.0
1899,406.0
1900,422.0
1901,461.0
1902,400.0
1903,450.0
1904,450.0
1905,500.0
1906,511.0
1907,500.0
1908,461.0
1909,467.0
1910,456.0
1911,456.0
1912,478.0
1913,467.0
1914,467.0
1915,472.0
1916,472.0
1917,467.0
1918,478.0
1919,467.0
1920,467.0
1921,467.0
1923,461.0
1924,478.0
1925,489.0
1926,489.0
1927,467.0
