year,value
1907,178.0
1908,328.0
1909,339.0
1910,350.0
1911,344.0
1912,322.0
1913,350.0
1914,322.0
1915,333.0
1916,344.0
1917,339.0
1918,311.0
1919,339.0
1920,322.0
1921,328.0
1922,361.0
1923,333.0
1924,344.0
1925,361.0
1926,339.0
1927,233.0
1928,361.0
1929,356.0
1930,350.0
1931,322.0
1932,350.0
1933,356.0
1934,378.0
1935,356.0
1936,350.0
1937,356.0
1938,361.0
1939,356.0
1940,372.0
1941,322.0
1942,350.0
1943,367.0
1944,372.0
1945,378.0
1946,378.0
1947,361.0
1948,367.0
1949,394.0
1950,361.0
1951,367.0
1952,350.0
1953,378.0
1954,356.0
1955,350.0
1956,372.0
1957,367.0
1958,350.0
1959,356.0
1960,344.0
1961,389.0
1962,328.0
1963,328.0
1964,350.0
1966,378.0
1967,378.0
1968,400.0
1969,389.0
1973,389.0
1974,378.0
1975,378.0
1976,356.0
1977,356.0
1978,367.0
1981,350.0
1982,394.0
1983,372.0
1984,350.0
1985,422.0
1986,394.0
1987,389.0
1988,400.0
1989,411.0
1990,394.0
1991,383.0
1992,394.0
1993,394.0
1994,406.0
1995,422.0
1996,406.0
1997,406.0
1998,456.0
1999,417.0
2000,406.0
2001,400.0
2002,417.0
2003,411.0
2004,400.0
2005,389.0
2006,400.0
2007,428.0
2008,406.0
2009,406.0
2010,389.0
2011,411.0
2012,406.0
2013,417.0
2014,400.0
2015,400.0
2016,422.0
2017,428.0
2018,422.0
2019,400.0
2020,422.0
2021,333.0
